uid,votes_2,votes_num,votes_3,votes_1,votes_mean,votes_4,votes_std,likes_num,likes_mean,likes_std,likes_sum,dislikes_num,dislikes_std,dislikes_sum,dislikes_mean,com_std,com_num,com_mean,com_sum
0_53,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_54,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_56,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_57,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_60,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_62,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_259,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_268,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_269,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_271,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
